year_added,country,total_count
2017, Soviet Union,2
2017, Spain,11
2017, Sri Lanka,1
2017, Sweden,7
2017, Switzerland,4
2017, Thailand,1
2017, United Arab Emirates,2
2017, United Kingdom,17
2017, United States,61
2017, Uruguay,4
2017, Venezuela,1
2017,Argentina,11
2017,Australia,24
2017,Austria,1
2017,Belgium,5
2017,Brazil,15
2017,Bulgaria,1
2017,Cambodia,1
2017,Canada,53
2017,Chile,8
2017,China,19
2017,Colombia,4
2017,Czech Republic,2
2017,Denmark,2
2017,Finland,1
2017,France,34
2017,Georgia,1
2017,Germany,17
2017,Hong Kong,2
2017,Iceland,1
2017,India,192
2017,Indonesia,2
2017,Ireland,4
2017,Israel,5
2017,Italy,12
2017,Japan,39
2017,Lebanon,1
2017,Malaysia,7
2017,Mexico,30
2017,Netherlands,4
2017,New Zealand,2
2017,Nigeria,1
2017,Norway,5
2017,Pakistan,5
2017,Portugal,1
2017,Russia,6
2017,Saudi Arabia,1
2017,Singapore,9
2017,Slovenia,1
2017,South Africa,1
2017,South Korea,44
2017,Spain,33
2017,Sweden,4
2017,Switzerland,1
2017,Taiwan,11
2017,Thailand,2
2017,Turkey,44
2017,Ukraine,1
2017,United Arab Emirates,2
2017,United Kingdom,123
2017,United States,501
2017,Uruguay,1
2017,Venezuela,1
2017,Vietnam,1
2017,West Germany,1
2018,,1
2018, Albania,1
2018, Argentina,3
2018, Australia,8
2018, Austria,1
2018, Bangladesh,1
2018, Belgium,12
2018, Brazil,4
2018, Bulgaria,1
2018, Canada,35
2018, Cayman Islands,1
2018, Chile,2
2018, China,15
2018, Colombia,3
2018, Croatia,1
2018, Czech Republic,2
2018, Denmark,4
2018, Dominican Republic,1
2018, Egypt,1
2018, Finland,1
2018, France,33
2018, Germany,19
2018, Greece,1
2018, Hong Kong,7
2018, Iceland,1
2018, India,10
2018, Indonesia,3
2018, Iran,2
2018, Iraq,1
2018, Ireland,2
2018, Israel,3
2018, Italy,6
2018, Japan,7
2018, Jordan,1
2018, Kenya,1
2018, Kuwait,1
2018, Lebanon,1
2018, Luxembourg,3
2018, Mexico,9
2018, Morocco,4
2018, Namibia,1
2018, Netherlands,6
2018, New Zealand,3
2018, Peru,1
2018, Poland,5
2018, Portugal,1
2018, Qatar,1
2018, Russia,1
2018, Serbia,1
2018, Singapore,1
2018, Slovenia,1
2018, South Africa,8
2018, South Korea,5
2018, Spain,9
2018, Sudan,1
2018, Sweden,7
2018, Switzerland,2
2018, Syria,1
2018, Taiwan,1
2018, Turkey,1
2018, Uganda,1
2018, United Arab Emirates,4
2018, United Kingdom,32
2018, United States,101
2018, West Germany,1
2018, Zimbabwe,1
2018,Argentina,24
2018,Australia,32
2018,Belgium,2
2018,Brazil,18
2018,Bulgaria,3
2018,Cambodia,1
2018,Canada,50
2018,Chile,7
2018,China,27
2018,Colombia,13
2018,Czech Republic,3
2018,Denmark,7
2018,Egypt,2
2018,Finland,1
2018,France,36
2018,Georgia,1
2018,Germany,17
2018,Guatemala,1
2018,Hong Kong,50
2018,Hungary,2
2018,Iceland,1
2018,India,353
2018,Indonesia,26
2018,Ireland,12
2018,Israel,7
2018,Italy,10
2018,Japan,49
2018,Lebanon,1
2018,Malaysia,3
2018,Mexico,25
2018,Netherlands,4
2018,New Zealand,4
2018,Nigeria,2
2018,Norway,4
2018,Pakistan,5
2018,Peru,2
2018,Philippines,5
2018,Poland,4
2018,Portugal,1
2018,Russia,6
2018,Saudi Arabia,1
2018,Serbia,2
2018,Singapore,7
2018,Somalia,1
2018,South Africa,5
2018,South Korea,30
2018,Soviet Union,1
2018,Spain,37
2018,Sweden,3
2018,Switzerland,3
2018,Taiwan,8
2018,Thailand,35
2018,Turkey,13
2018,Ukraine,1
2018,United Arab Emirates,3
2018,United Kingdom,126
2018,United States,680
2018,Uruguay,2
2018,Venezuela,1
2018,Vietnam,2
2019,,1
2019, Argentina,3
2019, Australia,12
2019, Austria,2
2019, Belgium,16
2019, Brazil,3
2019, Bulgaria,1
2019, Cambodia,1
2019, Canada,34
2019, Chile,1
2019, China,19
2019, Colombia,2
2019, Czech Republic,6
2019, Denmark,2
2019, Finland,2
2019, France,41
2019, Germany,30
2019, Hong Kong,9
2019, Hungary,1
2019, India,6
2019, Iraq,1
2019, Ireland,2
2019, Italy,9
2019, Japan,16
2019, Jordan,1
2019, Liechtenstein,1
2019, Luxembourg,4
2019, Malawi,1
2019, Malaysia,1
2019, Malta,2
2019, Mexico,11
2019, Morocco,1
2019, Nepal,1
2019, Netherlands,4
2019, New Zealand,2
2019, Norway,2
2019, Pakistan,2
2019, Peru,1
2019, Poland,4
2019, Portugal,1
2019, Russia,1
2019, Senegal,1
2019, Serbia,1
2019, Singapore,7
2019, South Africa,4
2019, South Korea,5
2019, Spain,13
2019, Sweden,7
2019, Switzerland,2
2019, Taiwan,2
2019, Thailand,2
2019, Turkey,3
2019, United Arab Emirates,5
2019, United Kingdom,44
2019, United States,101
2019, Uruguay,1
2019, Vatican City,1
2019, West Germany,2
2019,Argentina,18
2019,Australia,25
2019,Austria,3
2019,Bangladesh,2
2019,Belgium,5
2019,Brazil,20
2019,Bulgaria,1
2019,Canada,66
2019,Chile,2
2019,China,24
2019,Colombia,10
2019,Croatia,1
2019,Cyprus,1
2019,Denmark,12
2019,Dominican Republic,1
2019,Egypt,50
2019,Finland,3
2019,France,54
2019,Germany,21
2019,Ghana,2
2019,Hong Kong,18
2019,Iceland,1
2019,India,243
2019,Indonesia,18
2019,Iran,1
2019,Ireland,3
2019,Israel,6
2019,Italy,14
2019,Japan,69
2019,Lebanon,5
2019,Malaysia,8
2019,Mauritius,1
2019,Mexico,31
2019,Netherlands,6
2019,New Zealand,3
2019,Nigeria,31
2019,Norway,2
2019,Pakistan,7
2019,Paraguay,1
2019,Peru,1
2019,Philippines,41
2019,Poland,11
2019,Romania,5
2019,Russia,2
2019,Singapore,3
2019,South Africa,5
2019,South Korea,62
2019,Spain,53
2019,Sweden,4
2019,Switzerland,2
2019,Taiwan,23
2019,Thailand,16
2019,Turkey,22
2019,United Arab Emirates,4
2019,United Kingdom,165
2019,United States,1139
2019,Uruguay,1
2019,Vietnam,1
2020, Australia,2
2020, Canada,10
2020, East Germany,1
2020, France,7
2020, Germany,11
2020, Hong Kong,1
2020, India,2
2020, Italy,3
2020, Japan,4
2020, Malaysia,1
2020, Mexico,2
2020, Singapore,1
2020, South Korea,2
2020, Spain,1
2020, Taiwan,1
2020, United Kingdom,12
2020, United States,15
2020, West Germany,1
2020,Australia,1
2020,Austria,1
2020,Belgium,1
2020,Brazil,1
2020,Canada,4
2020,China,1
2020,France,1
2020,Germany,3
2020,India,7
2020,Indonesia,2
2020,Japan,5
2020,Mexico,3
2020,Netherlands,1
2020,New Zealand,2
2020,Poland,1
2020,Russia,1
2020,South Africa,1
2020,South Korea,2
2020,Spain,2
2020,United Kingdom,14
2020,United States,130
